depth (ft),longitude,latitude
10398.8,-108.04083,41.27806
12205.1,-108.14139,41.18194
8971.5,-107.94528,41.86056
7275,-108.03028,41.68417
5670.1,-108.30964,41.65709
12234.7,-108.14667,41.18806
,-108.13889,41.17556
10265.6,-107.99361,41.12944
10220.8,-107.9925,41.1345
8246.3,-107.96444,41.75972
6832.2,-108.19444,41.73472
8229.8,-107.95433,41.75163
14911,-108.485,41.16777
10074.7,-108.02138,41.30027
12793.9,-108.15888,41.14
7766.8,-107.86861,41.68417
6841.7,-108.19527,41.73694
11447.8,-108.09325,41.22683
6994.1,-108.25416,41.79583
8638.7,-107.95539,41.80974
13346.1,-108.17333,41.10737
,-108.49556,41.98583
8006.6,-107.94509,41.74481
8943,-108.32528,42.0075
9555.4,-108.32491,41.44589
9287.6,-108.37302,41.42978
7807.4,-107.97238,41.72812
8530.3,-108.0802,41.86071
8603.8,-108.02901,41.44618
7380.1,-107.97193,41.46096
9517.3,-108.29594,41.46117
8803.2,-107.92547,41.80951
9207.1,-108.50195,41.35648
7187.6,-108.14808,41.75234
7639.5,-107.87778,41.70889
8542,-107.95556,41.82417
8471.2,-108.33839,41.98306
8727,-108.0426,41.85293
7256.6,-108.09744,41.72783
7461.5,-108.07834,41.71325
10984.1,-108.05108,41.16244
4885.4,-107.93208,42.25678
7810.2,-108.10683,41.57583
,-108.19642,41.75424
2315.1,-108.70994,41.41074
7514.8,-108.08783,41.59756
7167,-107.97264,41.6413
7252.8,-108.0009,41.62597
6708,-108.17533,41.70621
12111.9,-108.10428,41.10256
7231.7,-107.96288,41.58338
9212.7,-108.48237,41.3708
,-107.93324,41.66273
7929.7,-108.4477,42.00016
9587.3,-108.55901,41.34996
7712.8,-108.12585,41.59752
9911.6,-108.06386,41.3396
8989.6,-108.05169,41.88199
8569.2,-108.11688,41.51803
9019.2,-108.10891,41.91881
9053.5,-107.90724,41.8454
,-108.52296,42.00167
8120.9,-108.059,41.51087
8586.2,-108.06909,41.48886
12224.2,-108.53194,41.26333
7571,-108.14618,41.60405
8601.2,-108.30598,41.48964
9060.6,-107.93549,41.84618
6984.2,-107.95682,41.60781
9014.5,-107.93692,41.85029
6819.6,-108.19525,41.71971
9961.9,-107.99926,41.23253
10015.5,-108.00912,41.24678
7193,-108.11622,41.72018
10838.3,-108.01911,42.02496
6712,-108.19391,41.69173
7192,-108.07836,41.66999
,-108.47508,42.03774
,-108.50419,42.0378
6677.2,-108.18428,41.67002
7107.1,-107.96296,41.62015
6667.8,-108.19598,41.70624
9908.4,-108.27303,42.02713
9637.2,-108.08008,41.95489
7693.4,-108.06899,41.54707
6942.4,-107.95278,41.48885
9586.7,-108.42438,41.39603
8603.2,-107.96508,41.81044
9133.4,-108.00735,41.34938
9174,-108.39159,41.42296
6543,-108.22409,41.65507
8410.8,-107.96453,41.78075
8281.6,-108.48521,42.02825
9879.4,-108.44206,41.37014
8141.7,-108.0367,41.79207
9578.2,-108.41097,41.40147
3468.7,-108.52328,41.58414
7015.7,-107.9383,41.61984
8763.4,-108.12663,41.50352
,-108.34936,41.92852
,-108.3396,41.92172
,-108.34924,41.922
8069.6,-108.45804,42.01417
10490.4,-108.37251,41.40142
7985.6,-108.68811,41.75086
8081.3,-108.18568,41.86861
8181.8,-108.119,41.86074
8744.5,-108.13847,41.90457
,-108.28913,41.47691
9057.7,-108.1276,41.93296
9797.5,-108.145,41.98333
11871.3,-108.11183,41.22528
9675.6,-107.99704,41.29118
7373.9,-108.1066,41.6333
3162.7,-108.54579,41.58106
7744.8,-108.04862,41.76229
8129.3,-108.21618,41.88209
8684,-108.17642,41.93322
8676,-108.15656,41.91915
3055.3,-108.5513,41.57266
4929.9,-108.44647,41.51582
8377.6,-108.16467,41.56103
8068.9,-108.24302,41.54043
7288.8,-107.97169,41.48993
8398.1,-108.19395,41.54715
8265.1,-108.14478,41.57532
8922.2,-107.79237,41.78021
7825.3,-108.13903,41.81691
4993.5,-108.46682,41.50205
9799.2,-108.27269,42.01991
9895.4,-107.91596,41.89641
10048.8,-107.88801,41.89695
10002.5,-108.27343,42.034
10378.4,-108.15606,41.42822
8710.5,-108.1941,41.51828
8683,-108.17503,41.51123
,-108.3871,41.9653
8106.4,-108.13836,41.84631
8058.6,-108.17716,41.85411
10331,-107.98395,41.96187
7352.8,-107.95906,41.45018
8478.4,-107.88733,41.77331
9075.7,-107.8879,41.83911
8914.4,-108.14481,41.48858
8519.8,-107.86804,41.75888
