,APINO,Surface hole latitude (NAD83),Surface hole longitude (NAD83),Bottom hole latitude (NAD83),Bottom hole longitude (NAD83),Total vertical depth at bottom hole (ft),Number of frac stages,Total slurry (bbl),Total proppant (lb),Surface-to-bottom hole length (ft),Producing interval length (ft),Lateral azimuth (°),First 18 months oil (bbl),IP oil API gravity (°),Average gas-oil ratio (ft3/bbl),Calculated top of reservoir temperature (°F),API number,Company,Well type,WSGS reservoir
248,563201,43.61936,-105.77691,43.59184,-105.77409,11781.0,36.0,186136.0,10961640.0,10055.698907,9113.0,174.149269,97124.64019851117,47.0,3464.982778,216.20302862173915,246,9,1,0
249,563235,43.58982,-105.77728,43.61778,-105.7836,11586.82,38.0,201629.0,11651760.0,10324.798802,9551.0,347.263066,97124.64019851117,48.0,3332.389046,216.20302862173915,247,9,1,0
250,563236,43.590299,-105.767707,43.61801,-105.76825,11522.0,36.0,163729.0,10949310.0,10098.546713,9128.0,358.877427,97124.64019851117,48.0,2948.598131,216.20302862173915,248,9,1,0
251,563239,43.62004,-105.65969,43.63269,-105.65663,11092.85,17.0,42614.0,3400358.0,4680.073823,4214.0,13.598472,73025.0,44.8,1667.804323,216.20302862173915,249,5,1,1
252,563336,43.53222,-105.98989,43.54515,-105.98972,12496.31,19.0,90309.0,3892920.0,4711.830927,4206.0,0.753265,97124.64019851117,39.1,924.279835,211.304198,250,2,1,0
253,563337,43.53223,-105.99001,43.5451,-105.99574,12508.14,19.0,124274.0,3820260.0,4929.60674,4185.0,336.000346,97124.64019851117,39.1,721.606648,241.195857,251,2,1,0
254,563452,43.72425,-105.41633,43.69573,-105.41753,9366.67,32.0,153290.0,10977414.0,10396.997536,9123.0,182.409341,159650.0,40.6,1444.86692,216.20302862173915,252,20,1,1
255,563470,43.57809,-105.58853,43.58942,-105.59538,10859.0,16.0,61794.0,4753115.0,4509.527701,3801.0,328.843279,68876.0,47.8,3381.475667,216.20302862173915,253,8,1,1
256,563472,43.5781,-105.58815,43.58951,-105.58865,10841.0,12.0,46331.0,3462340.0,4159.666509,2800.0,357.490835,102078.0,47.8,3054.778555,216.20302862173915,254,8,1,1
257,563494,43.57728,-105.60182,43.58935,-105.60196,10821.4,16.0,64049.0,4910620.0,4398.209009,4148.0,359.335456,122096.0,46.7,2470.29703,216.20302862173915,255,8,1,1
258,563525,43.61741,-105.75995,43.60629,-105.76332,11634.45,19.0,90309.0,3892920.0,4149.05528,4206.0,196.859829,97124.64019851117,39.1,924.279835,216.20302862173915,256,2,1,0
259,563526,43.61746,-105.75986,43.60632,-105.75834,11616.44,20.0,97550.0,4847180.0,4079.169889,4250.0,172.230244,97124.64019851117,47.0,3412.044374,256.642396,257,2,1,0
260,563554,43.67928,-105.58811,43.69118,-105.58606,10319.49,20.0,50915.0,3966408.0,4369.932237,4227.0,9.774345,90572.0,41.0,974.481659,216.20302862173915,258,24,1,1
261,563562,43.57592,-105.57987,43.5632,-105.58207,10894.2,16.0,64804.0,4950240.0,4671.384453,3918.0,189.812572,97124.64019851117,48.0,3690.4474,216.20302862173915,259,9,1,1
262,563563,43.57592,-105.57968,43.56324,-105.57584,10826.4,16.0,60083.0,4087310.0,4730.985683,4013.0,163.151635,97124.64019851117,48.0,2322.375398,216.20302862173915,260,9,1,1
263,563585,43.73742,-105.73827,43.70839,-105.74262,10897.0,39.0,198244.0,14277230.0,10640.613376,9302.0,188.522079,97124.64019851117,42.0,445.040214,216.20302862173915,261,9,1,1
264,563684,43.57615,-105.83112,43.60352,-105.82799,12057.6,35.0,182415.0,9681969.0,10007.716052,9037.0,6.523934,97124.64019851117,42.65357142857142,1393.782383,236.408923,262,13,1,0
265,563830,43.87002,-105.36826,43.8553,-105.3688,8502.37,23.0,77427.0,6778120.0,5365.710918,4582.0,182.100941,97124.64019851117,35.0,1902.612061,216.20302862173915,263,15,1,1
266,563831,43.83849,-105.34204,43.853,-105.3414,8382.12,23.0,87283.0,8060760.0,5289.969483,4441.0,2.525537,97124.64019851117,35.0,862.288136,216.20302862173915,264,15,1,1
267,563832,43.83914,-105.34735,43.82626,-105.34803,8513.49,22.0,81419.0,6532127.0,4696.740203,4409.0,183.022127,97124.64019851117,37.0,672.676838,216.20302862173915,265,15,1,1
268,563833,43.83848,-105.34194,43.82631,-105.34181,8469.43,23.0,80934.0,6508540.0,4434.729525,4415.0,179.387989,97124.64019851117,36.0,527.301092,216.20302862173915,266,15,1,1
269,564159,43.66238,-105.60226,43.65052,-105.59576,10619.75,35.0,110608.0,6190860.0,4651.155084,4060.0,151.274584,97124.64019851117,44.0,737.288136,226.802256,267,17,1,1
270,564172,43.6352,-105.6179,43.6478,-105.61538,10724.05,34.0,85183.4538927739,6439660.0,4639.40266,4299.0,11.309932,97124.64019851117,44.0,931.092437,243.881812,268,17,1,1
271,564229,43.73742,-105.73846,43.76431,-105.74284,10778.0,34.0,142436.0,9998520.0,9866.647435,8112.0,350.748577,97124.64019851117,37.0,410.509031,216.20302862173915,269,9,1,1
272,564672,43.60459,-105.56612,43.59195,-105.57179,10628.12,20.0,72880.0,5770386.0,4844.313419,4571.0,204.159857,97124.64019851117,46.0,1962.714392,216.20302862173915,270,5,1,1
273,565007,43.73742,-105.73808,43.76424,-105.73643,10754.0,36.0,153748.0,10725313.0,9782.78158,8714.0,3.520471,97124.64019851117,37.0,460.9375,216.20302862173915,271,9,1,1
274,922804,42.79381,-105.34699,42.78955,-105.34453,11696.0,21.275862068965516,85183.4538927739,4967583.241417605,1686.54016,1243.0,149.995079,12324.0,53.0,33375.0,202.788805,272,6,1,0
275,922885,42.85177,-105.41132,42.8645,-105.41688,11963.0,16.0,85183.4538927739,2502330.0,4871.432325,1938.0,336.406048,18419.0,42.65357142857142,3793.8328290086765,275.711272,273,6,1,0
276,923003,43.26383,-104.91466,43.274,-104.90491,8448.1,10.0,85183.4538927739,483218.0,4524.253152,3985.0,43.792135,4649.0,36.8,741.545894,221.241934,274,21,1,1
277,928137,42.79314,-105.33221,42.7926,-105.33096,11844.0,21.275862068965516,85183.4538927739,4967583.241417605,388.834597,20.0,113.364344,4183.0,52.0,33490.909091,216.20302862173915,275,6,1,0
278,928148,42.7982,-105.34157,42.80403,-105.3442,11600.69,21.275862068965516,85183.4538927739,4967583.241417605,2238.122543,1041.0,335.719154,15616.0,52.0,32692.307692,212.182699,276,6,1,0
279,928165,43.14338,-105.87918,43.15225,-105.88365,11923.43,7.0,85183.4538927739,1288000.0,3444.906808,2702.289999999999,333.254368,21190.0,42.65357142857142,81.909091,184.09619,277,12,1,0
280,928167,42.78336,-105.35912,42.78847,-105.3652,11460.82,21.275862068965516,85183.4538927739,4967583.241417605,2475.432845,2354.0,310.045726,921.0,52.0,47142.857143,216.20302862173915,278,6,1,0
281,928206,43.2774,-104.92505,43.28742,-104.93451,8460.53,21.275862068965516,85183.4538927739,4967583.241417605,4434.994794,3446.0,316.646653,27803.0,40.9,462.151394,181.500081,279,21,1,1
282,928230,42.811,-105.46312,42.82359,-105.46325,11643.2,8.0,85183.4538927739,1918180.0,4586.993323,2201.0,359.408405,74594.0,41.9,1575.498575,222.731854,280,6,1,0
283,928240,43.18418,-105.7198,43.17407,-105.73597,12800.94,12.0,85183.4538927739,1518500.0,5670.995454,4750.0,237.985063,107500.0,44.0,1614.395887,207.371826,281,11,1,0
284,928255,42.83848,-105.44788,42.82701,-105.44791,11682.0,14.0,85183.4538927739,2814840.0,4178.830234,3142.0,180.149858,54460.0,39.9,4451.219512,216.20302862173915,282,6,1,0
285,928261,42.79571,-105.42831,42.8084,-105.42853,11531.0,11.0,85183.4538927739,3002656.0,4623.645985,3558.0,359.006792,59764.0,44.9,3790.076336,234.896004,283,6,1,0
286,928282,42.86638,-105.44329,42.85818,-105.44316,11757.83,8.0,85183.4538927739,2228784.0,2987.693107,2420.0,179.091728,11394.0,45.0,4073.333333,253.662641,284,6,1,0
287,928413,43.48889,-105.45761,43.46622,-105.45292,10329.7,33.0,57530.0,3263056.0,8353.427552,7612.0,168.311467,134849.0,42.65357142857142,5334.951456,237.85809,285,8,1,1
