station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
nd!41,41.2825,-108.5433333,7198,979603.01,980283.62,0.25,-245.5,-1.51,0,-3.95,-250.71
nd!42,41.286,-108.5991667,7410,979596.36,980283.93,0.5,-252.7,-1.5,0,9.01,-244.73
nd!43,41.306,-108.6118333,7678,979583.59,980285.73,0.78,-261.8,-1.49,0,19.62,-242.96
nd!44,41.30933333,-108.6566667,8380,979542.7,980286.02,3.56,-285.8,-1.44,0,44.39,-239.3
nd!45,41.32983333,-108.6796667,7757,979589.92,980287.86,1.35,-264.5,-1.49,0,31.24,-233.46
nd!46,41.33383333,-108.7123333,7677,979597.24,980288.22,1.62,-261.8,-1.49,0,30.69,-231.03
nd!47,41.29033333,-108.8573333,6903,979648.89,980284.31,0.13,-235.4,-1.52,0,13.51,-223.32
nd!48,41.30816667,-108.894,6792,979659.66,980285.92,0.35,-231.6,-1.52,0,12.25,-220.58
nd!49,41.325,-108.9435,6755,979668.43,980287.43,0.91,-230.3,-1.52,0,16.03,-214.97
ndlSO,41.35616667,-108.9375,6701,979676.8,980290.23,1.13,-228.5,-1.52,0,16.53,-212.41
ndlSl,41.39683333,-108.9323333,6655,979686.32,980293.88,0.6,-226.9,-1.52,0,18.08,-209.82
nd!52,41.43133333,-108.9366667,6632,979693.2,980296.97,1.07,-226.2,-1.52,0,19.71,-206.94
wyl,41.746,-108.953,6788,979706.38,980325.23,0.36,-231.5,-1.52,0,19.28,-213.4
wy2,41.7675,-108.9521667,6983,979691.68,980327.16,0.75,-238.1,-1.52,0,20.96,-217.97
wy3,41.76916667,-108.9298333,7497,979658.11,980327,1.19,-255.7,-1.5,0,35.54,-220.47
wy4,41.79183333,-108.9135,7566,979649.48,980329,0.9,-258.05,-1.5,0,31.36,-227.29
wy5,41.79683333,-108.8831667,6979,979690.26,980329,0.42,-238.03,-1.52,0,16.53,-222.6
wy6,41.82033333,-108.899,7102,979682.42,980331,0.52,-242.23,-1.51,0,18.14,-225.09
wy7,41.82533333,-108.8755,7057,979685.66,980332,0.7,-240.69,-1.51,0,16.7,-224.81
wy8,41.835,-108.8443333,7084,979682.89,980333,0.37,-241.61,-1.51,0,15.59,-227.16
wy9,41.839,-108.8276667,7061,979683.95,980333,0.29,-240.83,-1.51,0,14.14,-227.92
wyl,41.86083333,-108.8385,6970,979689.38,980335,0.16,-237.73,-1.52,0,9.05,-230.03
wyl,41.8725,-108.8345,6814,979699.17,980336,0.15,-232.41,-1.52,0,3.14,-230.64
wyl,41.89483333,-108.7865,6830,979694.52,980338,0.06,-232.95,-1.52,0,-2.02,-236.43
wy!,41.9025,-108.7455,6788,979695.84,980339,0.03,-231.52,-1.52,0,-5.34,-238.34
wy!,41.94033333,-108.7215,6726,979700.7,980342,0.02,-229.4,-1.52,0,-9.71,-240.61
wy!,41.96,-108.6861667,6673,979705.44,980344,0.02,-227.6,-1.52,0,-11.72,-240.81
wyl,41.96316667,-108.64,6650,979706.96,980344,0.08,-226.81,-1.52,0,-12.64,-240.89
wy!,41.98833333,-108.6658333,6718,979705.92,980347,0.01,-229.13,-1.52,0,-9.56,-240.19
wy!,42.01766667,-108.6461667,6869,979698.9,980349,0.16,-234.28,-1.52,0,-5.03,-240.67
wy!,42.04666667,-108.549,6790,979704.36,980352,0.02,-231.59,-1.52,0,-9.6,-242.69
wy2,42.06133333,-108.53,6817,979702.87,980353,0.04,-232.51,-1.52,0,-9.88,-243.87
wy2,42.08916667,-108.4916667,6908,979697.21,980356,0.32,-235.61,-1.52,0,-9.49,-246.3
wy2,42.136,-108.4965,6808,979706.31,980360,0.1,-232.2,-1.52,0,-14,-247.62
